date,value
2016-04-08,986.5757798753825
2016-04-11,984.2647362135649
2016-04-12,993.430484081655
2016-04-13,1003.4691118167252
2016-04-14,1003.5134178543142
2016-04-15,1002.4037298553937
2016-04-18,1009.4432971840198
2016-04-19,1012.6312948312165
2016-04-20,1013.5963516269732
2016-04-21,1008.1446719443471
2016-04-22,1008.1446719443471
2016-04-25,1006.4080789767846
2016-04-26,1007.8997155756088
2016-04-27,1009.978025223885
2016-04-28,1000.799545735798
2016-04-29,995.4125426827555
2016-05-02,1003.3204064951627
2016-05-03,994.5844781181643
2016-05-04,989.0401122419613
2016-05-05,988.8471008828101
2016-05-06,992.4654272858983
2016-05-09,993.2817787600926
2016-05-10,1005.6360335401793
2016-05-11,996.22838489215
2016-05-12,996.5181565632769
2016-05-13,987.8341731958653
