Date,Mkt-RF,SMB,HML,RMW,CMA,RF
2014-10-14,0.28,0.81,-0.12,-0.06,0.09,0
2014-10-15,-0.53,1.66,-1.31,-0.45,-0.59,0
2014-10-16,0.23,1.1,0.17,-0.33,0.12,0
2014-10-17,1.14,-1.55,-0.1,0.1,0.27,0
2014-10-20,0.94,0.13,-0.33,0.09,-0.34,0
2014-10-21,1.98,-0.41,0.02,0.03,-0.13,0
2014-10-22,-0.85,-0.55,0.21,0.09,0.19,0
2014-10-23,1.29,0.44,-0.46,-0.31,-0.05,0
2014-10-24,0.66,-0.5,-0.11,-0.25,0.11,0
2014-10-27,-0.17,0.07,-0.26,0.08,-0.01,0
2014-10-28,1.37,1.56,-0.01,-0.41,-0.18,0
2014-10-29,-0.18,0.04,0.44,0.18,0.31,0
2014-10-30,0.6,0.22,-0.48,-0.39,0.08,0
2014-10-31,1.23,0.32,0.19,0.19,0,0
2014-11-03,-0.01,-0.29,-0.06,0.01,0.13,0
2014-11-04,-0.35,-0.06,-0.11,0.06,0.04,0
2014-11-05,0.48,-0.41,0.86,0.35,0.78,0
2014-11-06,0.49,0.06,-0.48,0.19,-0.29,0
2014-11-07,0.09,0.03,0.44,-0.18,0.04,0
2014-11-10,0.33,0.14,-0.5,-0.32,-0.41,0
2014-11-11,0.1,0.01,-0.29,0.16,-0.27,0
2014-11-12,0.07,0.72,-0.28,0.16,0.07,0
2014-11-13,-0.03,-0.92,-0.33,0.51,0.02,0
2014-11-14,0.06,-0.13,0.14,0.01,-0.11,0
2014-11-17,-0.05,-0.94,0.27,0.05,0.24,0
2014-11-18,0.51,-0.01,-0.36,-0.16,-0.01,0
2014-11-19,-0.21,-0.87,-0.06,0.41,0.08,0
2014-11-20,0.31,0.87,-0.02,-0.04,-0.03,0
2014-11-21,0.48,-0.37,-0.09,-0.05,0.03,0
2014-11-24,0.4,0.91,-0.57,-0.18,-0.07,0
2014-11-25,-0.08,0.06,-0.04,0.12,0.16,0
2014-11-26,0.3,0.03,-0.45,-0.15,-0.19,0
2014-11-28,-0.35,-1.02,-1.02,0.48,-0.04,0
2014-12-01,-0.9,-0.89,0.61,0.05,0.51,0
2014-12-02,0.65,0.46,0.05,-0.44,0.03,0
2014-12-03,0.46,0.45,0.31,-0.17,0.05,0
2014-12-04,-0.17,-0.35,0.09,0.03,-0.16,0
2014-12-05,0.25,0.56,0.25,-0.71,0.16,0
2014-12-08,-0.82,-0.58,0.26,-0.11,0.08,0
2014-12-09,0.13,1.68,-0.28,-0.45,-0.33,0
2014-12-10,-1.72,-0.63,-0.1,0.1,0.16,0
2014-12-11,0.49,-0.06,-0.2,0.19,0.02,0
2014-12-12,-1.55,0.46,-0.58,0.23,-0.29,0
2014-12-15,-0.68,-0.23,0.11,0.66,0.16,0
2014-12-16,-0.8,0.69,0.6,-0.09,0.45,0
2014-12-17,2.15,0.9,-0.1,-0.35,-0.41,0
2014-12-18,2.36,-0.91,-0.21,-0.41,-0.24,0
2014-12-19,0.43,-0.22,0.19,-0.46,0,0
2014-12-22,0.37,0.18,-0.04,0.08,0.09,0
2014-12-23,0.21,-0.12,1.05,0.58,0.62,0
2014-12-24,0.07,0.34,-0.17,-0.13,-0.07,0
2014-12-26,0.39,0.34,-0.32,-0.06,-0.18,0
2014-12-29,0.13,0.22,0.57,0.18,0.17,0
2014-12-30,-0.48,0.07,0.35,-0.07,0.3,0
2014-12-31,-0.93,0.48,-0.39,-0.1,-0.21,0
2015-01-02,-0.11,-0.56,0.09,-0.21,0.1,0
2015-01-05,-1.84,0.25,-0.63,0.15,-0.13,0
2015-01-06,-1.04,-0.78,-0.27,0.53,0.04,0
2015-01-07,1.19,0.16,-0.65,0.22,-0.14,0
2015-01-08,1.81,-0.1,-0.27,0.13,-0.19,0
2015-01-09,-0.85,-0.02,-0.5,-0.13,-0.17,0
2015-01-12,-0.79,0.34,-0.37,0.11,0.2,0
2015-01-13,-0.19,0.25,0.03,0.32,0.03,0
2015-01-14,-0.6,0.28,-0.49,0.23,-0.14,0
2015-01-15,-1.08,-0.94,0.63,0.65,0.59,0
2015-01-16,1.36,0.5,-0.14,-0.29,-0.09,0
2015-01-20,0.11,-0.75,-0.55,0.03,-0.52,0
2015-01-21,0.42,-0.91,0.55,0.23,-0.02,0
2015-01-22,1.58,0.45,0.41,0,-0.12,0
2015-01-23,-0.47,0.44,-0.82,-0.04,-0.59,0
2015-01-26,0.42,0.58,-0.05,-0.37,-0.09,0
2015-01-27,-1.21,0.76,0.23,-0.33,0.51,0
2015-01-28,-1.39,-0.18,-0.77,0.53,-0.19,0
2015-01-29,0.98,0.19,0,0.01,-0.33,0
2015-01-30,-1.3,-0.81,0.03,-0.18,-0.46,0
2015-02-02,1.25,-0.4,0.99,0,0.17,0
2015-02-03,1.49,0.24,0.51,0.05,0.44,0
2015-02-04,-0.35,-0.09,-0.2,0.35,-0.13,0
2015-02-05,1.1,0.44,-0.16,-0.48,-0.2,0
2015-02-06,-0.2,0.07,0.38,-0.21,-0.09,0
2015-02-09,-0.46,-0.37,0.09,-0.03,-0.01,0
2015-02-10,1.04,-0.36,-0.69,0.11,-0.42,0
2015-02-11,0.03,-0.18,-0.33,0.03,-0.08,0
2015-02-12,1,0.2,-0.09,-0.13,-0.15,0
2015-02-13,0.47,0.16,-0.29,-0.29,-0.23,0
2015-02-17,0.17,-0.01,0,-0.12,-0.16,0
2015-02-18,0.03,0.24,-0.81,0.33,-0.16,0
2015-02-19,-0.01,0.22,-0.35,-0.05,-0.39,0
2015-02-20,0.61,-0.44,-0.26,-0.11,-0.09,0
2015-02-23,-0.08,0.04,-0.37,0.4,-0.21,0
2015-02-24,0.32,-0.02,0.69,-0.23,0.36,0
2015-02-25,0.02,0.19,-0.51,-0.6,-0.22,0
2015-02-26,-0.08,0.54,-0.47,-0.16,-0.32,0
2015-02-27,-0.36,-0.21,0.22,0.08,0.32,0
2015-03-02,0.62,0.2,-0.43,0.01,0.08,0
2015-03-03,-0.43,-0.29,0.3,-0.03,0,0
2015-03-04,-0.41,0.1,-0.4,-0.04,-0.26,0
2015-03-05,0.15,0.21,-0.43,-0.53,-0.15,0
2015-03-06,-1.29,0.29,0.43,-0.13,0,0
2015-03-09,0.37,0.09,-0.02,0.25,-0.03,0
2015-03-10,-1.63,0.43,-0.47,0.14,-0.13,0
2015-03-11,-0.04,0.61,0.52,-0.5,-0.03,0
2015-03-12,1.28,0.4,0.5,-0.1,0.23,0
2015-03-13,-0.57,0.19,-0.03,-0.13,-0.13,0
2015-03-16,1.23,-0.78,-0.41,-0.14,-0.14,0
2015-03-17,-0.2,0.53,-0.02,0.05,-0.31,0
2015-03-18,1.08,-0.48,0,0.18,-0.02,0
2015-03-19,-0.36,0.8,-1.1,0.09,-0.41,0
2015-03-20,0.81,-0.1,0.54,0.43,0.26,0
2015-03-23,-0.19,0.2,0.24,0.2,0.31,0
2015-03-24,-0.51,0.52,-0.29,0.1,-0.21,0
2015-03-25,-1.56,-0.89,1.03,0.39,0.51,0
2015-03-26,-0.22,0.09,-0.06,0.04,-0.22,0
2015-03-27,0.32,0.43,-0.69,-0.19,-0.12,0
2015-03-30,1.24,0.06,-0.04,-0.22,0.01,0
2015-03-31,-0.75,0.45,0.37,0.22,0.24,0
2015-04-01,-0.38,0.34,0.42,-0.15,0.24,0
2015-04-02,0.35,-0.11,0.31,-0.12,0.24,0
2015-04-06,0.61,-0.28,-0.15,0.21,-0.21,0
2015-04-07,-0.22,-0.19,-0.16,-0.18,-0.23,0
2015-04-08,0.37,0.47,-0.72,-0.09,-0.27,0
2015-04-09,0.41,-0.71,-0.06,-0.28,0.15,0
2015-04-10,0.49,-0.15,-0.28,-0.47,0.2,0
2015-04-13,-0.38,0.55,0.23,-0.13,-0.14,0
2015-04-14,0.11,-0.13,0.19,0.09,0.08,0
2015-04-15,0.57,0.27,0.32,-0.18,-0.06,0
2015-04-16,-0.08,-0.1,-0.21,-0.18,-0.21,0
2015-04-17,-1.23,-0.43,0.22,0.18,0.09,0
2015-04-20,0.95,0.14,-0.27,0.42,-0.32,0
2015-04-21,-0.1,0.13,-0.76,0.12,-0.24,0
2015-04-22,0.46,-0.39,0.17,-0.02,0,0
2015-04-23,0.29,0.29,-0.23,-0.03,-0.21,0
2015-04-24,0.17,-0.55,-0.29,0.71,-0.55,0
2015-04-27,-0.54,-0.68,0.56,0.52,-0.03,0
2015-04-28,0.27,0.26,1.02,0.08,0.44,0
2015-04-29,-0.38,-0.72,0.74,-0.74,-0.01,0
2015-04-30,-1.11,-1.01,0.78,0.27,0.48,0
2015-05-01,1.01,-0.31,-0.62,0.3,-0.18,0
2015-05-04,0.32,0.09,0.24,-0.18,0.03,0
2015-05-05,-1.19,-0.14,0.5,0,0.29,0
2015-05-06,-0.31,0.6,-0.13,-0.27,0.11,0
2015-05-07,0.39,-0.01,-0.39,-0.25,-0.01,0
2015-05-08,1.21,-0.56,-0.12,-0.31,-0.24,0
2015-05-11,-0.39,0.66,-0.03,-0.09,0.01,0
2015-05-12,-0.27,0,0.07,-0.16,0,0
2015-05-13,0.01,0,0.02,-0.07,0.03,0
2015-05-14,1.01,-0.16,-0.35,0.11,-0.43,0
2015-05-15,0.05,-0.21,-0.2,0.3,0.26,0
2015-05-18,0.44,0.73,-0.09,-0.19,-0.27,0
2015-05-19,-0.09,-0.07,0.23,-0.1,-0.04,0
2015-05-20,-0.05,0.19,-0.14,-0.13,0.06,0
2015-05-21,0.23,-0.29,-0.02,0.07,-0.16,0
2015-05-22,-0.22,-0.13,-0.14,-0.12,-0.07,0
2015-05-26,-1.01,-0.03,-0.01,-0.14,0.16,0
2015-05-27,0.93,0.3,-0.34,-0.08,-0.29,0
2015-05-28,-0.12,0.1,0.13,-0.24,0.09,0
2015-05-29,-0.58,0.06,0.06,-0.23,-0.02,0
2015-06-01,0.17,-0.06,-0.22,0.21,-0.37,0
2015-06-02,-0.02,0.33,0.33,-0.15,0.16,0
2015-06-03,0.39,0.86,-0.24,-0.19,-0.06,0
2015-06-04,-0.88,-0.08,-0.01,0.18,-0.02,0
2015-06-05,0.06,0.83,0.05,-0.51,-0.38,0
2015-06-08,-0.66,0.03,0.03,0.02,0.06,0
2015-06-09,0.02,-0.28,0.35,0.13,0.11,0
2015-06-10,1.2,0.16,0.19,-0.06,0.02,0
2015-06-11,0.21,-0.09,-0.11,0.15,-0.01,0
2015-06-12,-0.63,0.34,0.13,0.06,0.1,0
2015-06-15,-0.45,0.16,-0.13,-0.17,-0.25,0
2015-06-16,0.57,0.09,0,0.09,-0.07,0
2015-06-17,0.16,-0.3,-0.63,0.21,-0.11,0
2015-06-18,0.99,0.16,-0.43,-0.13,-0.15,0
2015-06-19,-0.43,0.51,-0.2,0.06,-0.06,0
2015-06-22,0.63,0.08,-0.06,-0.14,-0.25,0
2015-06-23,0.12,0.24,0.27,-0.11,-0.01,0
2015-06-24,-0.79,-0.14,0.13,0.19,-0.01,0
2015-06-25,-0.25,0.33,-0.2,0.15,-0.08,0
2015-06-26,-0.06,-0.19,0.45,0.29,0.35,0
2015-06-29,-2.15,-0.41,0.18,0.31,0.1,0
2015-06-30,0.33,0.3,-0.67,-0.3,-0.64,0
2015-07-01,0.6,-0.77,-0.06,0.07,0.08,0
2015-07-02,-0.11,-0.6,-0.04,-0.02,0.01,0
2015-07-06,-0.37,0.07,-0.55,-0.22,-0.23,0
2015-07-07,0.53,-0.48,-0.25,0.42,-0.02,0
2015-07-08,-1.68,-0.05,0.07,0.05,0.11,0
2015-07-09,0.28,0.19,-0.03,-0.22,-0.25,0
2015-07-10,1.24,0.19,-0.55,-0.18,-0.07,0
2015-07-13,1.14,-0.12,-0.42,0.11,-0.32,0
2015-07-14,0.47,0.12,0.13,-0.33,-0.36,0
2015-07-15,-0.19,-0.81,-0.08,-0.27,-0.3,0
2015-07-16,0.78,-0.25,-0.62,-0.25,-0.67,0
2015-07-17,0.05,-0.68,-0.65,-0.26,-0.94,0
2015-07-20,-0.01,-0.8,-0.57,0.27,-0.3,0
2015-07-21,-0.47,0.08,0.3,-0.14,-0.06,0
2015-07-22,-0.18,0.26,0.19,-0.43,0.09,0
2015-07-23,-0.6,-0.39,-0.34,-0.06,-0.03,0
2015-07-24,-1.08,-0.67,-0.02,-0.21,-0.02,0
2015-07-27,-0.74,-0.25,0.08,0.02,0.37,0
2015-07-28,1.23,-0.33,-0.11,0.13,0.16,0
2015-07-29,0.74,-0.21,0.52,0.94,0.3,0
2015-07-30,0.12,0.19,-0.26,0.06,-0.14,0
2015-07-31,-0.15,0.72,-0.99,0.23,-0.07,0
2015-08-03,-0.35,-0.33,-0.17,0.08,0.04,0
2015-08-04,-0.14,0.04,-0.19,-0.01,0.18,0
2015-08-05,0.36,-0.08,-0.44,-0.07,-0.07,0
2015-08-06,-0.88,-0.37,1.99,0.31,0.74,0
2015-08-07,-0.36,-0.4,-0.35,0.33,0.19,0
2015-08-10,1.32,0.2,0.69,0.29,0.05,0
2015-08-11,-0.98,-0.06,0.43,0.05,0.07,0
2015-08-12,0.07,-0.19,-0.27,-0.11,-0.16,0
2015-08-13,-0.14,-0.41,0.01,0.1,-0.09,0
2015-08-14,0.43,0.13,0.44,-0.08,0.06,0
2015-08-17,0.6,0.35,-0.87,-0.18,-0.42,0
2015-08-18,-0.35,-0.62,0.34,0.32,0.09,0
2015-08-19,-0.85,-0.2,-0.22,-0.19,-0.04,0
2015-08-20,-2.24,-0.23,0.6,0.54,0.65,0
2015-08-21,-2.95,1.8,0.14,-0.75,0.84,0
2015-08-24,-3.9,0.26,-0.43,0.37,0.13,0
2015-08-25,-1.17,0.57,-0.61,-0.25,-0.65,0
2015-08-26,3.68,-1.42,-0.37,0.15,-0.68,0
2015-08-27,2.4,-0.58,0.62,-0.21,-0.22,0
2015-08-28,0.23,0.98,0.08,-0.16,0.08,0
2015-08-31,-0.74,0.9,1.42,0.1,0.51,0
2015-09-01,-2.91,0.25,-0.51,-0.06,0.07,0
2015-09-02,1.81,-0.31,-0.92,0.2,-0.69,0
2015-09-03,0.17,-0.18,0.72,0.32,0.77,0
2015-09-04,-1.39,0.82,-0.57,-0.1,-0.47,0
2015-09-08,2.52,-0.4,-0.55,-0.12,-0.28,0
2015-09-09,-1.34,0.16,0.11,0.18,0.01,0
2015-09-10,0.49,-0.21,-0.31,-0.28,-0.69,0
2015-09-11,0.44,-0.28,-0.7,-0.11,-0.29,0
2015-09-14,-0.41,0.03,0.01,-0.04,-0.07,0
2015-09-15,1.22,-0.15,0.25,0.05,0.09,0
2015-09-16,0.84,0.06,0.44,0.41,0.22,0
2015-09-17,-0.17,0.75,-1.5,-0.34,-0.54,0
2015-09-18,-1.62,0.27,-0.96,-0.45,-0.53,0
2015-09-21,0.36,-0.84,1.21,0.41,0.21,0
2015-09-22,-1.29,-0.29,0.14,0.24,0.07,0
2015-09-23,-0.27,-0.22,-0.14,-0.23,-0.28,0
2015-09-24,-0.36,0.24,0.56,-0.04,0.03,0
2015-09-25,-0.22,-1.43,1.88,0.57,0.7,0
2015-09-28,-2.63,-0.2,1.17,0.5,0.71,0
2015-09-29,-0.07,-0.6,0.71,0.7,0.65,0
2015-09-30,1.88,-0.48,-0.48,-0.38,-0.34,0
2015-10-01,0.13,-0.51,-0.05,-0.07,-0.21,0
2015-10-02,1.48,0.29,-0.84,-0.07,-0.02,0
