date,AMGN,AXP,FL,GGG,JBLU,V,TRP,COT,
2015-10-07,1.13E+11,76948460000,9770895000,442722809.3,8750082000,1.80E+11,25020000000,1147000000,
2015-10-08,1.15E+11,76948460000,10074690000,453320383.8,8623764000,1.82E+11,24990000000,1158000000,
2015-10-09,1.14E+11,77098010000,10037952000,447534351.8,8910540000,1.82E+11,24690000000,1174000000,
2015-10-12,1.17E+11,77078070000,9999801000,439312095.7,9170004000,1.84E+11,24700000000,1168000000,
2015-10-13,1.13E+11,76370200000,9889587000,428470898.8,8449650000,1.84E+11,24490000000,1169000000,
2015-10-14,1.13E+11,75941490000,9681876000,423293922.8,8302848000,1.82E+11,24780000000,1162000000,
2015-10-15,1.17E+11,76509780000,9686115000,424451129.2,8323332000,1.85E+11,24790000000,1193000000,
2015-10-16,1.17E+11,76978370000,9899478000,418640081.9,8227740000,1.87E+11,24750000000,1187000000,
2015-10-19,1.18E+11,76769000000,10009692000,422738399.5,8425752000,1.89E+11,24140000000,1211000000,
2015-10-20,1.15E+11,76719150000,9857088000,417416703.5,8388198000,1.87E+11,24480000000,1259000000,
2015-10-21,1.15E+11,76280470000,9916434000,412339683.3,8282364000,1.85E+11,24170000000,1254000000,
2015-10-22,1.16E+11,72282500000,9797742000,438275304.9,8405268000,1.88E+11,24280000000,1263000000,
2015-10-23,1.19E+11,74366230000,8988093000,444698041.4,8524758000,1.89E+11,24170000000,1272000000,
2015-10-26,1.21E+11,73967430000,9250911000,442985311.7,8948094000,1.92E+11,23870000000,1286000000,
2015-10-27,1.24E+11,73787970000,9342756000,436256730.6,8657904000,1.90E+11,23660000000,1255000000,
2015-10-28,1.24E+11,74226650000,9611226000,450814933.3,8412096000,1.94E+11,24060000000,1177000000,
2015-10-29,1.23E+11,73997340000,9590031000,451548960.4,8511102000,1.93E+11,24010000000,1128000000,
2015-10-30,1.21E+11,73040220000,9573075000,448979865.8,8480376000,1.91E+11,23820000000,1146000000,
2015-10-31,1.21E+11,73040220000,9545975000,448979865.8,8480376000,1.91E+11,23820000000,1146000000,
2015-11-02,1.24E+11,73718180000,9615016000,456625980.6,8780808000,1.85E+11,23900000000,1117000000,
2015-11-03,1.24E+11,73807910000,9748871000,465373136.1,8674974000,1.91E+11,24120000000,1107000000,
2015-11-04,1.24E+11,73847790000,9637560000,468064568.5,8545242000,1.93E+11,24300000000,1103000000,
2015-11-05,1.23E+11,73708210000,9716464000,468492750.9,8787636000,1.95E+11,24360000000,1096000000,
2015-11-06,1.23E+11,74077100000,9437482000,464761446.9,8907126000,1.93E+11,23090000000,1074000000,
2015-11-09,1.22E+11,73199740000,9471298000,459256244.2,8791050000,1.92E+11,23050000000,1050000000,
2015-11-10,1.21E+11,73149890000,9250085000,460479622.5,8992476000,1.95E+11,22840000000,1039000000,
2015-11-11,1.20E+11,72691270000,8761162000,457298838.7,8999304000,1.95E+11,22520000000,1015000000,
2015-11-12,1.15E+11,71764060000,8644215000,442862973.9,8794464000,1.92E+11,21960000000,1011000000,
2015-11-13,1.16E+11,70986400000,8177836000,438336473.8,8603280000,1.92E+11,21990000000,1012000000,
2015-11-16,1.18E+11,71445020000,8332826000,441456088.7,8541828000,1.94E+11,22630000000,1020000000,
2015-11-17,1.20E+11,70896670000,8383550000,437847122.5,8516223000,1.94E+11,22620000000,1020000000,
2015-11-18,1.23E+11,71933550000,8611808000,450876102.2,8695458000,1.98E+11,22930000000,1030000000,
2015-11-19,1.22E+11,72521780000,8669577000,453689872.5,8763738000,1.97E+11,23220000000,1105000000,
2015-11-20,1.22E+11,72202740000,9161318000,455708446.9,8825190000,1.97E+11,23130000000,1124000000,
2015-11-23,1.24E+11,72023280000,9166954000,455708446.9,8804706000,1.97E+11,22790000000,1119000000,
2015-11-24,1.24E+11,71415110000,9192316000,460968973.9,8651076000,1.96E+11,23080000000,1136000000,
2015-11-25,1.25E+11,71474930000,9305036000,459378582,8562312000,1.95E+11,22870000000,1152000000,
2015-11-27,1.25E+11,71634450000,9334625000,461091311.7,8610108000,1.96E+11,22600000000,1153000000,
2015-11-30,1.23E+11,71425080000,9158500000,461580663.1,8446236000,1.94E+11,22400000000,1147000000,
2015-12-01,1.24E+11,71983400000,9254312000,457910527.9,8719356000,1.96E+11,22990000000,1187000000,
2015-12-02,1.23E+11,70986400000,9283901000,453812210.4,8736426000,1.94E+11,22700000000,1185000000,
2015-12-03,1.18E+11,70208740000,9004919000,451548960.4,8432580000,1.92E+11,22130000000,1151000000,
2015-12-04,1.23E+11,70886700000,9282492000,451120777.9,8698872000,1.98E+11,22170000000,1145000000,
2015-12-07,1.21E+11,70398170000,9345897000,446533109,9043686000,1.95E+11,21660000000,1131000000,
2015-12-08,1.22E+11,69700270000,9379713000,437235433.3,8910540000,1.94E+11,21390000000,1190000000,
2015-12-09,1.21E+11,69650420000,9361396000,434176987.3,8647662000,1.91E+11,22870000000,1187000000,
2015-12-10,1.22E+11,69899670000,9450163000,433014777.9,8685216000,1.92E+11,23230000000,1162000000,
2015-12-11,1.19E+11,68653420000,9355760000,426102690,8000709000,1.87E+11,22740000000,1136000000,
2015-12-14,1.21E+11,68623510000,9303627000,420597487.3,7893168000,1.89E+11,23900000000,1136000000,
2015-12-15,1.24E+11,69939550000,8996465000,420719825.2,7920480000,1.93E+11,24250000000,1158000000,
2015-12-16,1.26E+11,70497870000,9169772000,424818142.7,7913652000,1.96E+11,24780000000,1178000000,
2015-12-17,1.23E+11,69361290000,9019009000,424818142.7,7766850000,1.93E+11,23680000000,1155000000,
2015-12-18,1.21E+11,67666390000,9057052000,426347365.7,7701984000,1.88E+11,23260000000,1145000000,
2015-12-21,1.22E+11,68194800000,9019009000,431118541.4,7958034000,1.90E+11,22720000000,1169000000,
2015-12-22,1.24E+11,68643450000,9390985000,441211413,7978518000,1.90E+11,23020000000,1174000000,
2015-12-23,1.24E+11,69760090000,9440300000,448368176.6,7958034000,1.93E+11,23990000000,1197000000,
2015-12-24,1.25E+11,69949520000,9157091000,448123500.9,7964862000,1.92E+11,23930000000,1204000000,
2015-12-25,1.25E+11,69949520000,9157091000,12661452540,7964862000,1.92E+11,23930000000,1204000000,
2015-12-28,1.24E+11,69550720000,9195134000,12673550570,7951206000,1.93E+11,23570000000,1201000000,
2015-12-29,1.26E+11,70338350000,9255721000,12649354510,7993881000,1.95E+11,23590000000,1231000000,
2015-12-30,1.25E+11,69949520000,9150046000,12594049230,7855614000,1.93E+11,23090000000,1234000000,
2015-12-31,1.24E+11,69758650000,9171181000,12455786030,7744035000,1.88E+11,22900000000,1205000000,
2016-01-01,1.24E+11,69758650000,9171181000,12455786030,7744035000,1.88E+11,22900000000,1205000000,
2016-01-04,1.21E+11,67792770000,9202179000,12384926140,7480772000,1.84E+11,22830000000,1211000000,
2016-01-05,1.21E+11,66749650000,9331807000,12234564910,7448291500,1.85E+11,22640000000,1212000000,
2016-01-06,1.20E+11,64613260000,9190907000,11966679960,7470515000,1.83E+11,22270000000,1232000000,
2016-01-07,1.17E+11,64031520000,9079596000,11653859470,7104682000,1.79E+11,21390000000,1234000000,
2016-01-08,1.15E+11,63820890000,8834430000,11423996900,6933732000,1.77E+11,21590000000,1224000000,
2016-01-11,1.13E+11,64242150000,8823158000,11475845600,7005531000,1.80E+11,21680000000,1181000000,
2016-01-12,1.16E+11,64593200000,8928833000,11536335750,7138872000,1.82E+11,22180000000,1189000000,
2016-01-13,1.11E+11,63038550000,8686485000,11195862620,6832871500,1.78E+11,21650000000,1143000000,
2016-01-14,1.17E+11,63479870000,8672395000,11306473180,7070492000,1.79E+11,21990000000,1129000000,
2016-01-15,1.16E+11,63098730000,8545585000,11273635670,7073911000,1.75E+11,20720000000,1095000000,
2016-01-19,1.16E+11,62827920000,8861201000,11328940950,6926894000,1.73E+11,20770000000,1074000000,
2016-01-20,1.19E+11,63219090000,8769616000,11230428420,7121777000,1.72E+11,20870000000,1097000000,
2016-01-21,1.17E+11,62827920000,9096504000,11035131650,7118358000,1.74E+11,22050000000,1083000000,
2016-01-22,1.20E+11,55225180000,9186680000,11211417230,7354269000,1.77E+11,23270000000,1094000000,
2016-01-25,1.18E+11,55185060000,9083823000,10985011240,7374783000,1.74E+11,22600000000,1089000000,
2016-01-26,1.18E+11,55255270000,9317717000,12056551040,7378202000,1.75E+11,23520000000,1112000000,
2016-01-27,1.15E+11,54683560000,9259948000,11930385870,7265375000,1.72E+11,23570000000,1104000000,
